bins,Time,lon,pdens,adens,pvel,avel,Ahe,vap,B,radius,BrR2,mag,edens,ed,Br,Bt,Bn,vr,vt,vn,vA,MA
118,2022-02-25 14:23:03.000000000,118.49147568792974,5.214298924608907,0.08123288277219289,322.8037891474654,466.71214441907557,0.015612754457372388,143.9083552716101,653.7744188785119,0.06183666007342311,2.4377557481917065,2.4377557481917065,4.451966341166068,1164.2869828815137,637.5278329521456,95.42456717115991,13.4412887964075,322.8037891474654,-65.04169161758483,1.6810182434743746,434.08836395606835,0.7438726413016015
119,2022-02-25 14:43:00.000000000,119.50176003827414,4.9928700718403185,0.07951454389671775,335.12133389745674,474.47067116950757,0.015934539868885822,139.34933727205086,659.9909399680669,0.06179663726411135,2.456482714487239,2.456482714487239,4.315330220370121,1130.0107426661516,643.2576203517312,79.46150619881986,30.578770187136794,335.12133389745674,-57.4342179019839,-7.584037226969021,444.84897902443026,0.7535028091812923
120,2022-02-25 15:02:57.000000000,120.51431479171124,4.434396174028542,0.06817866260314326,335.68641243890517,481.7264913203463,0.01537242761771833,146.04007888144113,669.9723381578868,0.061769165748767785,2.4900809222442226,2.4900809222442226,4.265037937398925,1117.834272903555,652.6336033066499,18.681575509074385,20.155593259538787,335.68641243890517,-33.184145501352816,-7.85124972320528,454.48898381671285,0.7384794649260893
121,2022-02-25 15:22:35.000000000,121.51251637019516,3.748268334278229,0.05400316061584465,379.16777282292975,558.5080806193268,0.014802602530686436,179.34030779639713,663.4409369058427,0.061754505097918515,2.439771016820639,2.439771016820639,3.808406166361919,998.6334732834846,639.7515183311901,54.23853840190128,-36.074357796569586,379.16777282292975,-58.01362332607457,15.960317628836858,475.6807609834058,0.7974755606967507
122,2022-02-25 15:42:18.066666496,122.5163687197875,3.4012943892020866,0.04993019049699284,400.9096718939394,603.4330490721501,0.016599744469903747,202.52337717821067,660.009499427203,0.0617521293342705,2.318545186099951,2.318545186099951,3.7816580056814715,991.6964034812937,608.0111028831417,7.388665828198468,8.32725432476724,400.9096718939394,-42.57129433727804,-25.56837958625541,475.0133219345679,0.844137078447771
123,2022-02-25 16:02:27.592592384,123.54349696773835,3.2973394702129952,0.03935591529193984,424.49190643257975,606.7708994532628,0.019642761694449576,182.27899302068303,669.8767605032149,0.06176247932425914,2.21837932945136,2.21837932945136,3.6904893701275445,967.4621017332767,581.5549389191071,24.094365554113693,72.28886038599856,424.49190643257975,-51.8918137334135,-64.14586253215569,488.01735434750447,0.8707540125950465
124,2022-02-25 16:21:17.206896640,124.50307211335729,3.6073456441100626,0.0329694402868153,381.91925462083896,548.1333779534259,0.009331567468746783,166.21412333258698,670.8898077547259,0.061783790900860815,2.4376915980018086,2.4376915980018086,3.5740535170436467,936.2940385048958,638.5998676362666,74.41942488690405,27.35087578398408,381.91925462083896,-72.85129805763697,-20.25383900038797,496.91018368483,0.7694072239794523
125,2022-02-25 16:41:07.000000000,125.51350865378161,3.5603263910701295,0.021357032933634182,334.83779637620444,475.2110785379137,0.005991084897964477,140.37328216170926,684.6010609174184,0.061818384052751245,2.5740563118848736,2.5740563118848736,3.3177248796250374,868.1684742930381,673.5683015436763,61.95453344247582,27.783940106668553,334.83779637620444,-45.40973145877042,-21.560041013738722,526.6877657597629,0.6367660588698679
126,2022-02-25 17:00:45.000000000,126.51337207793296,3.6993693560423364,0.021778982296240132,373.5591339226365,525.3269372517805,0.00599613391902018,151.767803329144,677.6351329707061,0.06186491858440358,2.454356499050267,2.454356499050267,3.5510581253113243,927.8410131433639,641.2797747993703,113.49058079534764,12.681691761159025,373.5591339226365,-98.03165079883536,-15.118702932717916,504.2485713849796,0.7423285958129052
127,2022-02-25 17:20:23.000000000,127.51212931228707,3.297094886938695,0.019293167177538057,376.1683728787879,550.310769993716,0.006242977833682366,174.1423971149281,674.6763811852604,0.06192361721190537,2.3995411467772443,2.3995411467772443,3.4601178114556808,902.343913727453,625.771872357747,64.41612859793105,2.563795290034097,376.1683728787879,-81.01497309067868,-7.679953787572616,509.44123578630405,0.7404559007152381
