bins,Time,timestamps,lon,BrR2,Br,Bn,Bt,B
140,2022-02-27 04:06:32.719661568,1645934792.7196615,140.50586177504866,2.518355957865307,7.031292889943396,2.456941899245283,4.487626662943397,10.212489153532543
141,2022-02-27 02:17:10.281537024,1645928230.2815373,141.50102160101108,2.683544610239605,7.470206325,-0.9814629151923077,2.323250041538462,10.028028886192818
142,2022-02-27 00:27:47.843431680,1645921667.8434315,142.49656333063044,2.400283695088063,6.661902120754717,1.7414584642830189,-0.5787870813207547,10.428723564546221
143,2022-02-26 22:37:22.905979392,1645915042.9059796,143.50196925157704,2.1257703412309046,5.881042355094339,-0.46209443384905663,-3.942152438301887,9.675055551930562
144,2022-02-26 20:48:00.467998976,1645908480.467999,144.49826680602425,2.982495853607041,8.226850169230769,3.3575577234615386,-1.0584342428846154,9.919559002547638
145,2022-02-26 18:58:38.029999616,1645901918.0299997,145.49493833930975,1.9444201499193308,5.348955567547169,-2.0712692679245284,-4.334981456415095,10.141607234092715
146,2022-02-26 17:08:13.092622848,1645895293.0926228,146.50147688104266,3.30441721583609,9.059368935849056,3.846479328301887,-3.789571335811321,11.589119052991352
147,2022-02-26 15:18:50.654635520,1645888730.6546354,147.4988885678241,1.8676528623480604,5.108570939692308,-3.943546973653846,-8.219668030769231,13.658543597381762
148,2022-02-26 13:29:28.216623872,1645882168.2166238,148.49666647546263,2.4282031115914244,6.617354309433962,-6.290190827169811,-9.274644024528302,14.637355337236047
149,2022-02-26 11:39:03.279299840,1645875543.2792997,149.50431414275454,2.848746629989124,7.74143100264151,-1.598047302118868,-6.893652617358491,13.306577152770325
150,2022-02-26 09:49:40.841478912,1645868980.841479,150.50281682750372,3.8440829389347795,10.415502367307692,0.9144047814423076,-5.240616145326923,13.206602113957057
151,2022-02-26 08:00:18.403810560,1645862418.4038103,151.50167811499333,3.4651784406541424,9.361701373584905,1.108830904981132,-2.6545589335849056,12.104775359164
152,2022-02-26 06:10:55.966442752,1645855855.9664426,152.5008932425479,3.7067459377462977,9.985019015384616,0.08894466846153846,0.008720055307692282,12.18096863026338
153,2022-02-26 04:21:33.529245696,1645849293.5292459,153.5004620159776,2.6226722749357942,7.0445209867924525,4.198320240188679,-7.866175349622641,13.481216598487372
154,2022-02-26 02:32:11.092209664,1645842731.0922098,154.50037976361963,3.181930601490241,8.519283719230769,-0.6542536315384615,-6.203056402884615,13.750550874203613
155,2022-02-26 00:42:48.655188480,1645836168.6551883,155.50064629810967,2.824977323343473,7.543335179811321,-3.516078864150943,-7.764353252830189,13.10765665144747
156,2022-02-25 22:53:26.218212352,1645829606.2182124,156.50125700743158,3.686722316975329,9.81394972826923,0.48178174225000003,-4.105271183423077,12.879228157405057
157,2022-02-25 21:04:03.781357056,1645823043.781357,157.50221167473828,2.417674014713677,6.420657076226415,6.085047110754717,-0.6628398924528303,12.988229657363846
158,2022-02-25 19:14:41.344441088,1645816481.344441,158.50350578518888,3.0595876492743326,8.097989350576922,-1.0072860333076923,-3.7765150584615386,13.04591283447687
159,2022-02-25 17:26:21.407077632,1645809981.4070776,159.49559762415555,4.465723480566473,11.78626680576923,0.37142213526923074,-4.348182751153846,13.543700560037898
160,2022-02-25 15:36:58.970282240,1645803418.9702823,160.49756357805305,2.7201423217256586,7.160444352830189,1.0939471523584905,-9.073228555849056,12.6335915035903
161,2022-02-25 13:47:36.533614592,1645796856.5336146,161.4998619737459,1.8503475169464312,4.8556524325,3.1756754946153842,-3.405454773365385,10.324396399284682
162,2022-02-25 11:58:14.097170432,1645790294.0971706,162.50249260119784,2.6702701139942744,6.986913547169811,-0.2593624837735849,-3.282035123264151,11.418762545075818
163,2022-02-25 10:08:51.660864000,1645783731.6608636,163.50545108872905,2.89693925341364,7.558217971346154,-0.04951833423076925,-3.2378612053269227,12.643468697569697
164,2022-02-25 08:20:31.724096256,1645777231.724096,164.49918009355798,2.521671013220853,6.560507225,-0.6424097040384614,2.5488998278846156,12.294219270771617
165,2022-02-25 06:31:09.288093952,1645770669.2880938,165.50278753787595,0.022615005650381242,0.05805817924528302,3.7219109926415093,-1.6609226179245282,13.242533833855742
166,2022-02-25 04:41:46.852153600,1645764106.8521535,166.50671612696073,-0.7633981053527525,-1.9756005413461537,-0.45754251019230757,-1.8047182319230768,14.890686260404587
167,2022-02-25 02:53:26.915865088,1645757606.9158652,167.50139936109008,3.245662079294588,8.370618290576923,-5.543777143461539,-7.815296982230769,18.166676539348167
168,2022-02-25 01:05:06.979653120,1645751106.9796534,168.4963943245983,3.135203621862733,8.064563621153846,-2.874078046153846,-6.043778886538462,11.52919794826395
169,2022-02-24 23:15:44.544225792,1645744544.5442257,169.5012711017287,4.295280509074465,11.01946329245283,-2.1421420858490565,-4.604111788679245,12.31425748781455
170,2022-02-24 21:26:22.108999936,1645737982.109,170.50646026831106,4.194070678166458,10.732830282051282,-2.761185885897436,-5.379292761538461,12.379851414612347
171,2022-02-24 19:38:02.173325824,1645731482.173326,171.50238349934395,,,,,
172,2022-02-24 17:49:42.237788672,1645724982.2377887,172.4986099764051,,,,,
173,2022-02-24 16:01:22.302326016,1645718482.302326,173.49513763781664,,,,,
174,2022-02-24 14:13:02.366883840,1645711982.3668838,174.49196443522425,,,,,
175,2022-02-24 12:23:39.932283392,1645705419.9322832,175.4986779384053,,,,,
176,2022-02-24 10:34:17.497748992,1645698857.497749,176.50569122770773,,,,,
177,2022-02-24 08:45:57.562537728,1645692357.562538,177.50340882755302,,,,,
178,2022-02-24 06:57:37.627500032,1645685857.6275,178.50141741866375,,,,,
179,2022-02-24 05:09:17.692345856,1645679357.6923456,179.49971506039512,,,,,
180,2022-02-24 03:20:57.757249280,1645672857.757249,180.49829975472943,,,,,
181,2022-02-24 01:32:37.822172928,1645666357.8221729,181.49716954998848,,,,,
182,2022-02-24 00:19:42.865720832,1645661982.8657207,182.16963499810143,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,2022-02-22 23:42:12.995666688,1645573332.9956667,195.82274634154808,,,,,
196,2022-02-22 22:29:18.038980352,1645568958.0389802,196.49782406958872,,,,,
197,2022-02-22 20:40:58.103365376,1645562458.1033654,197.50099635967774,,,,,
198,2022-02-22 18:52:38.168017920,1645555958.168018,198.50442247164207,,,,,
199,2022-02-22 17:05:20.732352768,1645549520.7323527,199.4984483279875,,,,,
