Time,lon,pdens,adens,pvel,avel,Ahe,vap,B,radius,BrR2,mag,edens,ed,Br,Bt,Bn,vr,vt,vn,vA,MA,use_dens,sigmac,sigmar
2022-02-24 12:40:00,67.0270458222657,15.127355611780137,0.10589393289211511,260.71457540719695,356.15742739921535,0.00702780099547659,95.4428519920184,257.67173148326935,0.09167224874799819,-2.060802595171161,-2.060802595171161,11.799083308405745,1403.9339578938789,-245.22883448275135,-2.529920204366804,5.517901480607672,260.71457540719695,-21.14318201298999,3.8551391064393936,155.8579727084022,1.6743720150291772,1403.9339578938789,0.885259132450045,-0.3642154661106293
2022-02-24 13:00:00,67.34130415816215,13.638697122218232,0.10459941343894827,271.7717668796257,359.9003323229996,0.007754107221247125,88.12856544337383,263.2091561746406,0.09109951700049337,-1.9264421266962017,-1.9264421266962017,11.574530336925738,1394.6488077836968,-232.11132785993215,35.04981960186801,-27.486981226611924,271.7717668796257,-9.107896792435136,-9.258312730471303,159.68513564918052,1.7024525589974062,1394.6488077836968,0.9011772735854403,-0.35679265179271785
2022-02-24 13:20:00,67.66265741632465,11.43305836835903,0.1043625948674464,282.5059902840909,371.42910422551404,0.010406086571532282,88.92311394142315,266.6405285630938,0.09052854786463037,-1.7630121714876505,-1.7630121714876505,11.71583256838997,1429.5442126572873,-215.12265346043742,71.232618144844,18.509327131000806,282.5059902840909,-10.338667900007103,5.3871477820892855,159.7875937395618,1.768602520823932,1429.5442126572873,0.8606785237025273,-0.356986999305171
2022-02-24 13:40:00,67.98746383123992,12.022803642229134,0.10841958487669257,287.87943046923317,376.99372685374146,0.009718520756007211,89.11429638450834,266.13152292885144,0.08996580547708552,-1.7059934507215682,-1.7059934507215682,11.78313823257641,1455.7837747696146,-210.750224388831,48.569087691291244,47.82989185938073,287.87943046923317,-13.370006390322953,15.755925611059444,158.04791121749057,1.8218524920504025,1455.7837747696146,0.916729339085391,-0.27751209170224556
2022-02-24 14:00:00,68.32712860475718,12.67466932957082,0.11298454273917138,298.5640485700758,390.54271775906386,0.009780028807931064,91.97866918898809,263.9573391215181,0.08939210249593171,-1.5833824576989701,-1.5833824576989701,11.721701214219365,1466.9335370860715,-198.14112329349214,-6.794592826708746,38.25096464234073,298.5640485700758,-41.69957837957271,11.300837766638933,156.15469936818832,1.9141463126750498,1466.9335370860715,0.8920935578586898,-0.35588516356569966
2022-02-24 14:20:00,68.6759623192113,13.069358887557584,0.10627903528259001,324.29938850175864,416.0253128564665,0.00837931784378775,91.72592435470779,272.5733075773827,0.08881784159548367,-1.2749029379583667,-1.2749029379583667,11.779673969910846,1493.2733216649194,-161.71304519936314,-80.01018727035775,145.5127214402382,324.29938850175864,-63.507100092282194,63.429491692119186,159.80783250961767,2.0308550488312647,1493.2733216649194,0.9522194464998753,-0.24315389433771636
2022-02-24 14:40:00,69.02694541608825,12.082557056749827,0.11152231178171013,299.975083618908,403.33911661220503,0.009930213387582898,103.36403299329702,270.56872585983996,0.08825462177950813,-1.6633715211437792,-1.6633715211437792,11.756698009514322,1509.3617693240358,-213.66987828335456,8.701150729056891,70.97569900680936,299.975083618908,-31.767415367912303,25.948472382234325,157.81669138121694,1.904443601915784,1509.3617693240358,0.9346034610328282,-0.2637162490125025
2022-02-24 15:00:00,69.38562691798045,12.83119453056114,0.1182560708767029,288.2266597155139,406.08844226212193,0.00945183238095829,117.861782546608,277.26538617378,0.08769357207015514,-1.8403155252283692,-1.8403155252283692,11.343121490307414,1475.0333761444394,-239.3726427964504,3.996110994230245,-18.94482915767009,288.2266597155139,-29.71519397921271,-14.953892878675168,163.56867850066178,1.7638425675240297,1475.0333761444394,0.9580010604227935,-0.21712075953757654
2022-02-24 15:20:00,69.75211326030156,11.824932151823775,0.10563167386900497,301.62266159265465,414.50014533026115,0.009504577595692709,112.87748373760647,292.0158147370982,0.08713473219678189,-1.7171017273147968,-1.7171017273147968,11.034152779014146,1453.2463314079062,-226.12414998893934,-12.326285570629535,88.4408646008328,301.62266159265465,-36.96300083168413,32.01879736892892,173.54215335873522,1.739108285661408,1453.2463314079062,0.9209642444800032,-0.28887121512922476
2022-02-24 15:40:00,70.1244327806544,10.485632585940127,0.08257625761006501,274.2975858071498,369.3741755104036,0.008191704672961143,95.07658970325373,314.994768143152,0.08658137572617923,-2.1418022499072826,-2.1418022499072826,10.900831635788833,1454.0604860462047,-285.73251777108374,61.16146555228318,50.36403186841702,274.2975858071498,-3.702813565081972,16.820046650957966,187.27719781439896,1.4687352624544872,1454.0604860462047,0.8826063331000463,-0.33225243284429784
2022-02-24 16:00:00,70.5090456501245,11.17993789630291,0.07972315127320721,277.4197001368524,370.9385438870269,0.007227131519027719,93.51884375017457,321.0465269979167,0.08602415199631303,-2.026035625676199,-2.026035625676199,10.005959245101813,1351.9470245465768,-273.72441257317166,-7.955104452290376,9.075120235030516,277.4197001368524,-29.47554633248911,2.3283329901043857,197.96897954840284,1.4031170736764733,1351.9470245465768,0.9133718644826824,-0.2596521411871813
2022-02-24 16:20:00,70.89971096785283,9.865001229984564,0.05217216134486503,240.64584865868505,314.9045854450758,0.005321948292182756,74.2587367863907,339.2162377891834,0.08547259704187264,-2.3800369703175654,-2.3800369703175654,9.101841024088586,1245.899133234859,-325.7990592115038,40.62382918041877,14.679691912227025,240.64584865868505,2.0718979351464286,11.889159951900027,217.72303180891493,1.10545752361575,1245.899133234859,0.9387433716174783,-0.12343711134152695
