 r	t	p
   1.0000000000000000      	   1.9146124613948203      	  0.69208343516504445
   1.0000000000000000      	   1.9146562511811989      	  0.69198372915458761
   1.0000000000000000      	   1.9149035314378917      	  0.69087903900104719
   1.0000000000000000      	   1.9150427784598754      	  0.68959737981439362
   1.0000000000000000      	   1.9150486296213016      	  0.68982307890945471
   1.0000000000000000      	   1.9150562824073523      	  0.68996643255955026
   1.0000000000000000      	   1.9150994296092989      	  0.68928008678360808
   1.0000000000000000      	   1.9151143771486903      	  0.68896575176638231
   1.0000000000000000      	   1.9150908611178816      	  0.68820160020556898
   1.0000000000000000      	   1.9148381632731302      	  0.68671968216574830
   1.0000000000000000      	   1.9150375274892528      	  0.68751086127323235
   1.0000000000000000      	   1.9151171032454448      	  0.68795783306326341
   1.0000000000000000      	   1.9151375468824638      	  0.68798755557638147
   1.0000000000000000      	   1.9151127802785011      	  0.68766361946212795
   1.0000000000000000      	   1.9149633680946718      	  0.68685362319386412
   1.0000000000000000      	   1.9147031554503882      	  0.68600554627617560
   1.0000000000000000      	   1.9150173587740298      	  0.68692398360044038
   1.0000000000000000      	   1.9149342310922055      	  0.68653042490571825
   1.0000000000000000      	   1.9148545014736651      	  0.68623717925741590
   1.0000000000000000      	   1.9149857330117745      	  0.68657592640408294
   1.0000000000000000      	   1.9151357467085262      	  0.68703384508517651
   1.0000000000000000      	   1.9152402261262942      	  0.68744611938208366
   1.0000000000000000      	   1.9145061813736597      	  0.68510906711567865
   1.0000000000000000      	   1.9146993468421698      	  0.68555438497438614
   1.0000000000000000      	   1.9120371193991872      	  0.68043019619653000
